Websites,DP11 (Cookie Info Display ),,DP12 (PurposeInfoDisplay,,DP13 (OptOutPricing),,DP14 (ConsentRevocationPossible),,DP15 (RevocationHard),,DP17 (LegalAmbiguity),,"DP19 (Multi-Click Opt-Out)
",
wetransfer.com,T,T,F,T,F,F,T,T,N/A,N/A,F,F,F,F
wps.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
xfinity.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
zara.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
Globalsign.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
Ubisoft.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
bbcgoodfood.com,T,T,F,F,F,F,F,F,F,F,F,F,F,F
costco.ca,T,T,F,F,F,F,F,F,T,T,F,F,F,F
hubapi.com,T,T,F,F,F,F,F,F,F,F,F,F,F,F
jooble.org,T,T,F,F,F,F,F,F,T,T,F,F,F,F
kochava.com,T,T,T,T,F,F,F,F,F,F,T,T,F,F
lifehacker.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
lu.se,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
mastercard.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
mediaset.it,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
miamiherald.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
mynavi.jp,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
nhl.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
nrk.no,T,T,F,T,F,F,T,T,N/A,N/A,F,F,F,F
poste.it,T,T,F,F,F,F,F,F,T,T,F,F,F,F
pravda.sk,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
radio-canada.ca,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
redis.io,T,T,F,T,F,F,T,T,N/A,N/A,F,F,F,F
ria.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
rte.ie,T,T,F,F,F,F,F,F,F,F,T,T,F,F
rtl.fr,T,T,T,T,F,F,F,F,T,T,T,T,F,F
sberbank.ru,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
sfr.fr,T,T,F,F,F,F,F,F,T,T,T,T,F,F
sony.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
spglobal.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
tableau.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
thenextweb.com,T,T,T,T,F,F,F,F,T,T,T,T,F,F
travelaudience.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
uga.edu,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
ustream.tv,T,T,F,F,F,F,F,F,T,T,F,F,F,F
warnerbros.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
webshare.io,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
yolasite.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
shoppilot.ru,T,F,F,F,F,F,T,T,N/A,N/A,T,T,T,T
universityworldnews.com,T,T,F,F,F,F,F,F,F,F,T,T,T,T
thetoyshop.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
wbshop.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
shoplocal.com,T,T,F,F,F,F,F,F,T,T,T,T,T,T
abcnews4.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
allkeyshop.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
animate-onlineshop.jp,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
bbcamerica.com,T,T,T,T,F,F,F,F,T,T,F,F,T,T
bloomberg.co.jp,T,T,T,T,F,F,F,T,T,N/A,F,F,F,F
bloomberg.com,T,T,T,T,F,F,F,F,T,T,F,T,F,F
bonniernews.se,T,T,F,F,F,F,F,F,F,F,F,F,T,T
boston25news.com,T,T,T,T,F,F,F,F,T,T,T,T,F,F
budsgunshop.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
capecodtimes.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
https://cdek.shopping/,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
climatechangenews.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
cnn.co.jp,T,T,F,F,F,F,T,T,N/A,N/A,T,F,T,T
cstorepro.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
domainnameshop.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
ebay.ch,T,T,F,F,F,F,F,F,F,F,F,F,F,F
ertnews.gr,T,T,T,T,F,F,T,T,N/A,N/A,T,T,F,F
https://www.essexlive.news/,T,T,F,F,F,F,F,F,T,T,F,F,T,T
eurasiantimes.com,F,F,F,F,F,F,T,T,N/A,N/A,F,F,T,T
fatquartershop.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
forbes.pl,T,T,F,F,F,F,F,F,F,F,T,T,F,F
gpshopper.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
grasshopper.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
hkexnews.hk,T,T,F,F,F,F,F,F,T,T,F,F,T,T
investingnews.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
investmentnews.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
itnews.com.au,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
https://destini.co/,T,T,F,F,F,F,F,F,T,T,F,F,F,F
mobihealthnews.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
mondadoristore.it,T,T,F,F,F,F,F,F,F,F,T,T,F,F
moneytimes.com.br,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
musicstore.de,T,T,T,T,F,F,F,F,T,T,F,F,F,F
news-gazette.com,T,T,F,F,F,T,T,T,N/A,N/A,F,F,T,T
news4sanantonio.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
newsfilecorp.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
newsner.com,T,T,F,F,F,F,F,F,T,T,T,T,T,T
newsone.com,T,T,F,F,F,F,F,F,F,F,T,T,F,T
newsweek.pl,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
nissannews.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
pgatoursuperstore.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
pharmacytimes.com,T,T,F,F,F,F,F,T,F,N/A,T,T,F,F
qctimes.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
royanews.tv,T,T,F,F,F,F,F,F,T,T,F,F,T,T
sesameworkshop.org,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
shophq.com,T,T,F,F,F,T,T,T,N/A,N/A,F,F,T,T
http://shopify.dev/,T,T,F,F,F,F,F,F,T,T,F,F,T,T
shoplc.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
illinois.edu,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
ticket-onlineshop.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
timesjobs.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
ubbcluj.ro,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
varesenews.it,T,T,F,F,F,F,F,F,F,F,T,T,F,F
veja-store.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
wfmynews2.com,T,T,T,T,F,F,F,F,T,T,F,F,T,T
wisc.edu,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
wmar2news.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
bnews.com.br,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
breakingnews.ie,T,T,F,F,F,F,F,F,T,T,T,T,T,T
chainstoreage.com,T,T,T,T,F,F,F,F,T,T,F,F,T,T
cnn.gr,T,T,F,F,F,F,F,F,F,F,T,T,F,F
dailytimes.com.pk,T,T,T,T,F,F,F,F,T,T,F,F,T,T
ebay.nl,T,T,T,T,F,F,F,F,F,F,F,F,F,F
ebay.pl,T,T,F,F,F,F,F,F,F,F,F,F,F,F
forbes.com.br,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
news3lv.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
newsbank.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
newsela.com,T,T,F,F,F,F,F,F,T,T,F,F,F,T
nwitimes.com,T,T,F,F,F,F,F,F,N/A,N/A,F,F,F,F
parknshop.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
psychiatrictimes.com,T,T,F,F,F,F,F,F,F,F,T,T,T,T
scrippsnews.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
shoppertrak.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
target-video.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
target2sell.com,T,T,F,F,F,F,F,F,F,F,T,T,F,F
timestables.com,T,T,T,T,F,F,T,F,N/A,N/A,F,F,T,T
zeenews.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
Advantshop.net,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
13newsnow.com ,T,T,F,F,F,F,F,F,T,T,F,F,T,T
Newschannel5.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
https://www.marathon.store/pe/,T,T,T,T,F,F,F,T,T,N/A,F,F,T,T
